Multivariate Gaussian Classifier k = 3,0.7879282218597063,0.21207177814029365
Multivariate Gaussian Classifier k = 4,0.7933659597607395,0.20663404023926046
Multivariate Gaussian Classifier k = 5,0.8075040783034257,0.19249592169657426
Multivariate Gaussian Classifier k = 6,0.8134855899945622,0.18651441000543778
Multivariate Gaussian Classifier k = 7,0.8107667210440457,0.18923327895595432
Multivariate Gaussian Classifier k = 8,0.8227297444263186,0.17727025557368137
Multivariate Gaussian Classifier k = 9,0.8172920065252854,0.18270799347471456
Multivariate Gaussian Classifier k = 10,0.8200108754758021,0.1799891245241979
Multivariate Gaussian Classifier k = 11,0.8238172920065253,0.17618270799347469
Multivariate Gaussian Classifier k = 12,0.8292550299075585,0.1707449700924415
Multivariate Gaussian Classifier k = 13,0.8297988036976618,0.1702011963023382
Multivariate Gaussian Classifier k = 14,0.8238172920065253,0.17618270799347469
Multivariate Gaussian Classifier k = 15,0.8216421968461121,0.17835780315388794
Multivariate Gaussian Classifier k = 16,0.8270799347471451,0.17292006525285486
Multivariate Gaussian Classifier k = 17,0.8287112561174551,0.1712887438825449
Multivariate Gaussian Classifier k = 18,0.8265361609570419,0.17346383904295815
Multivariate Gaussian Classifier k = 19,0.831973898858075,0.16802610114192496
Multivariate Gaussian Classifier k = 20,0.8259923871669386,0.17400761283306143
Multivariate Gaussian Classifier k = 21,0.8276237085372485,0.17237629146275146
Multivariate Gaussian Classifier k = 22,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 23,0.8276237085372485,0.17237629146275146
Multivariate Gaussian Classifier k = 24,0.8330614464382817,0.16693855356171827
Multivariate Gaussian Classifier k = 25,0.8276237085372485,0.17237629146275146
Multivariate Gaussian Classifier k = 26,0.8238172920065253,0.17618270799347469
Multivariate Gaussian Classifier k = 27,0.8341489940184883,0.1658510059815117
Multivariate Gaussian Classifier k = 28,0.8265361609570419,0.17346383904295815
Multivariate Gaussian Classifier k = 29,0.8276237085372485,0.17237629146275146
Multivariate Gaussian Classifier k = 30,0.831973898858075,0.16802610114192496
Multivariate Gaussian Classifier k = 31,0.8254486133768353,0.17455138662316472
Multivariate Gaussian Classifier k = 32,0.831973898858075,0.16802610114192496
Multivariate Gaussian Classifier k = 33,0.8330614464382817,0.16693855356171827
Multivariate Gaussian Classifier k = 34,0.8341489940184883,0.1658510059815117
Multivariate Gaussian Classifier k = 35,0.8357803153887983,0.16421968461120173
Multivariate Gaussian Classifier k = 36,0.8249048395867319,0.1750951604132681
Multivariate Gaussian Classifier k = 37,0.8287112561174551,0.1712887438825449
Multivariate Gaussian Classifier k = 38,0.8357803153887983,0.16421968461120173
Multivariate Gaussian Classifier k = 39,0.8276237085372485,0.17237629146275146
Multivariate Gaussian Classifier k = 40,0.8303425774877651,0.16965742251223492
Multivariate Gaussian Classifier k = 41,0.835236541598695,0.16476345840130502
Multivariate Gaussian Classifier k = 42,0.8259923871669386,0.17400761283306143
Multivariate Gaussian Classifier k = 43,0.831973898858075,0.16802610114192496
Multivariate Gaussian Classifier k = 44,0.835236541598695,0.16476345840130502
Multivariate Gaussian Classifier k = 45,0.8308863512778684,0.16911364872213164
Multivariate Gaussian Classifier k = 46,0.8368678629690048,0.16313213703099516
Multivariate Gaussian Classifier k = 47,0.8368678629690048,0.16313213703099516
Multivariate Gaussian Classifier k = 48,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 49,0.8368678629690048,0.16313213703099516
Multivariate Gaussian Classifier k = 50,0.831973898858075,0.16802610114192496
Multivariate Gaussian Classifier k = 51,0.831973898858075,0.16802610114192496
Multivariate Gaussian Classifier k = 52,0.8287112561174551,0.1712887438825449
Multivariate Gaussian Classifier k = 53,0.833605220228385,0.166394779771615
Multivariate Gaussian Classifier k = 54,0.833605220228385,0.166394779771615
Multivariate Gaussian Classifier k = 55,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 56,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 57,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 58,0.835236541598695,0.16476345840130502
Multivariate Gaussian Classifier k = 59,0.835236541598695,0.16476345840130502
Multivariate Gaussian Classifier k = 60,0.8384991843393148,0.1615008156606852
Multivariate Gaussian Classifier k = 61,0.8384991843393148,0.1615008156606852
Multivariate Gaussian Classifier k = 62,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 63,0.8346927678085916,0.16530723219140842
Multivariate Gaussian Classifier k = 64,0.8330614464382817,0.16693855356171827
Multivariate Gaussian Classifier k = 65,0.8330614464382817,0.16693855356171827
Multivariate Gaussian Classifier k = 66,0.8363240891789016,0.16367591082109845
Multivariate Gaussian Classifier k = 67,0.8363240891789016,0.16367591082109845
Multivariate Gaussian Classifier k = 68,0.8363240891789016,0.16367591082109845
Multivariate Gaussian Classifier k = 69,0.8368678629690048,0.16313213703099516
Multivariate Gaussian Classifier k = 70,0.8368678629690048,0.16313213703099516
Multivariate Gaussian Classifier k = 71,0.8363240891789016,0.16367591082109845
Multivariate Gaussian Classifier k = 72,0.8363240891789016,0.16367591082109845
Multivariate Gaussian Classifier k = 73,0.8363240891789016,0.16367591082109845
Multivariate Gaussian Classifier k = 74,0.833605220228385,0.166394779771615
Multivariate Gaussian Classifier k = 75,0.833605220228385,0.166394779771615
Multivariate Gaussian Classifier k = 76,0.833605220228385,0.166394779771615
Multivariate Gaussian Classifier k = 77,0.8357803153887983,0.16421968461120173
Multivariate Gaussian Classifier k = 78,0.8357803153887983,0.16421968461120173
